x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,q_e_norm
5.635469857234560885e+06,-3.800466237506380305e+06,1.370964392368020199e+05,2.561340768851556277e+03,4.014954192186944510e+03,5.992586578724275569e+03,1.044123938266195983e-01,8.504575334625585903e-01,4.513466940582104847e-01,2.544059713759313501e-01,1.439354741171646468e-01,1.870182205396726111e-02,1.788814297213519450e-02,-1.003817852103628490e-04,-2.291575785653726416e-05,9.165707138135615510e-05,1.032713946052293190e-04,4.973685116886917322e-06,6.462511831950784102e-06,-2.359104895696804524e-05,-1.289909298783475933e-03
5.636749625875478610e+06,-3.798458152442851104e+06,1.400927104308115086e+05,2.557733658311766703e+03,4.017385847732970888e+03,5.992497877709173736e+03,7.051840262931882708e-02,8.538259127499142620e-01,4.582894037296660894e-01,2.423423316815119799e-01,1.451766720626613549e-01,1.956628319848396913e-02,1.188116369796229053e-02,-4.595195947109779490e-05,5.644975089222173425e-05,-1.305270992165379724e-04,6.929128009734325272e-05,5.267707777268896672e-06,4.693772862476595669e-06,-2.384894895501722979e-05,-1.360308511465069259e-03
5.638027590756459162e+06,-3.796448851872906089e+06,1.430889367949125008e+05,2.554125729297518774e+03,4.019816217715363564e+03,5.992407259094808978e+03,3.757678059544304616e-02,8.553906488624358762e-01,4.656972152512571239e-01,2.300011400481882240e-01,1.423698439990747910e-01,1.875573504566625457e-02,6.000999188521111832e-03,-7.607826094106445009e-05,7.482480464384147956e-05,7.152961811597834943e-05,-9.232971811181482093e-05,5.572921935298668146e-06,2.946481762122447708e-06,-2.417755125013312516e-05,-1.423502663315590056e-03
5.639303751468554139e+06,-3.794438336439522915e+06,1.460851173703125096e+05,2.550516982963350983e+03,4.022245301356403616e+03,5.992314722910175988e+03,3.654236941515416788e-03,8.556349524169529763e-01,4.726601065398323698e-01,2.179036349437779296e-01,1.446478550808256158e-01,2.255590651596323451e-02,6.004029632931191102e-03,1.580722838786351853e-04,-1.850303897818674089e-04,2.279288984205146161e-05,2.253332224667100984e-04,5.782799920215024033e-06,1.180007144925746666e-06,-2.426500804509869463e-05,-1.492581989308572332e-03
5.640578107603394426e+06,-3.792426606786066666e+06,1.490812511982338037e+05,2.546907420464063307e+03,4.024673097878783210e+03,5.992220269184891549e+03,-2.986088257404898028e-02,8.546106241298062622e-01,4.789500089282311968e-01,2.061556872035085752e-01,1.419824538670356739e-01,2.407463635565501581e-02,5.561226749475471978e-03,-5.260643961148212926e-05,8.381290057298826986e-05,-4.867210182332791757e-05,-1.329859797537043698e-04,6.122680386747455385e-06,-6.351913588634838771e-07,-2.423491230627763051e-05,-1.561677423496554695e-03
5.641850658753182739e+06,-3.790413663556290790e+06,1.520773373199135240e+05,2.543297042954713561e+03,4.027099606505609245e+03,5.992123897949177262e+03,-6.306062824824212876e-02,8.520188005729060210e-01,4.855802627272323702e-01,1.938391075884342285e-01,1.424492358149686555e-01,2.278348503730432198e-02,1.216559737861682648e-03,-1.232512929050647923e-05,5.079795136318717856e-05,1.423437252661528417e-04,2.281991825175413654e-04,6.374136298784149908e-06,-2.414552603817786856e-06,-2.401002491307070664e-05,-1.627948229063314045e-03
5.643121404510703869e+06,-3.788399507394337095e+06,1.550733747766042652e+05,2.539685851590622406e+03,4.029524826460398799e+03,5.992025609233873183e+03,-9.661669022686825148e-02,8.478303099135685583e-01,4.922669035313751995e-01,1.814664345220147468e-01,1.442035011226837360e-01,2.450454276490814098e-02,-1.775675579458882349e-03,-6.903636633394486270e-05,1.565385962480837681e-04,-1.260103176446588616e-04,6.113298393150193148e-05,6.625708032537723895e-06,-4.052311443801221429e-06,-2.373538986820367149e-05,-1.695279262281745858e-03
5.644390344469321892e+06,-3.786384138944735751e+06,1.580693626095739601e+05,2.536073847527372891e+03,4.031948756967082318e+03,5.991925403070432367e+03,-1.298692068226651730e-01,8.416444595990397737e-01,4.993000584526861019e-01,1.703114504784855321e-01,1.417950466778164498e-01,2.933760806569989110e-02,-7.554441456745435157e-03,-1.248025510351387715e-04,-6.903392901273268313e-05,2.065192174577107866e-05,1.436584238757458764e-04,6.999220606106939860e-06,-5.821782853681202798e-06,-2.320569573600077186e-05,-1.759266118948055180e-03
5.645657478222973645e+06,-3.784367558852405287e+06,1.610652998601065483e+05,2.532461031920805453e+03,4.034371397250000427e+03,5.991823279490923596e+03,-1.628244813538737013e-01,8.345247573070854186e-01,5.054854989667268983e-01,1.587673494518015704e-01,1.414685353172856763e-01,2.851388408353029008e-02,-6.567278492536671348e-03,-1.135810071333811074e-04,-1.220103266089828120e-04,-1.396001464821982194e-05,1.928611115003091066e-06,7.380900201131015792e-06,-7.466827108004658573e-06,-2.265893622049756971e-05,-1.823981075447678180e-03
5.646922805366177112e+06,-3.782349767762650270e+06,1.640611855695021804e+05,2.528847405927022010e+03,4.036792746533909394e+03,5.991719238528021378e+03,-1.958275568542093004e-01,8.258777385939171101e-01,5.114515571236402103e-01,1.476113602003907843e-01,1.416875621230782312e-01,3.101148171514904808e-02,-9.134725057643438423e-03,-6.885410963120351766e-05,-1.568589756409917918e-05,1.683974695778277741e-04,1.253453367012121250e-05,7.645535804236548954e-06,-9.007056387169327813e-06,-2.196295458280480436e-05,-1.888916556692432636e-03
